Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 32.35      0.76     0.76   999999     0.00     0.00  BinTree<int>::searchParentNode(BinTreeNode<int>*, int)
 22.13      1.28     0.52  1000000     0.00     0.00  BinTree<int>::searchNode(BinTreeNode<int>*, int)
 21.07      1.78     0.50  6475884     0.00     0.00  BinTree<int>::bias(BinTreeNode<int>*)
  7.66      1.96     0.18        2    90.02   107.47  BinTree<int>::checkBin()
  5.53      2.09     0.13   615360     0.00     0.00  BinTree<int>::LeftMax(BinTreeNode<int>*)
  1.70      2.13     0.04  2098400     0.00     0.00  BinTree<int>::Replace(BinTreeNode<int>*, BinTreeNode<int>*)
  1.70      2.17     0.04   999889     0.00     0.00  BinTree<int>::BalanceE(BinTreeNode<int>*)
  1.28      2.20     0.03  1000000     0.00     0.00  BinTree<int>::erase(int)
  1.28      2.23     0.03  1000000     0.00     0.00  BinTree<int>::append(int)
  0.85      2.25     0.02  1000000     0.00     0.00  void std::vector<int, std::allocator<int> >::emplace_back<int>(int&&)
  0.43      2.26     0.01  6176519     0.00     0.00  BinTree<int>::modHeight(BinTreeNode<int>*)
  0.43      2.27     0.01  1999784     0.00     0.00  std::_Deque_iterator<BinTreeNode<int>*, BinTreeNode<int>*&, BinTreeNode<int>**>::_Deque_iterator(std::_Deque_iterator<BinTreeNode<int>*, BinTreeNode<int>*&, BinTreeNode<int>**> const&)
  0.43      2.28     0.01  1999780     0.00     0.00  std::deque<BinTreeNode<int>*, std::allocator<BinTreeNode<int>*> >::empty() const
  0.43      2.29     0.01  1999780     0.00     0.00  bool std::operator==<BinTreeNode<int>*, BinTreeNode<int>*&, BinTreeNode<int>**>(std::_Deque_iterator<BinTreeNode<int>*, BinTreeNode<int>*&, BinTreeNode<int>**> const&, std::_Deque_iterator<BinTreeNode<int>*, BinTreeNode<int>*&, BinTreeNode<int>**> const&)
  0.43      2.30     0.01  1999778     0.00     0.00  std::_Deque_iterator<BinTreeNode<int>*, BinTreeNode<int>*&, BinTreeNode<int>**>::operator*() const
  0.43      2.31     0.01  1999778     0.00     0.00  void std::allocator_traits<std::allocator<BinTreeNode<int>*> >::destroy<BinTreeNode<int>*>(std::allocator<BinTreeNode<int>*>&, BinTreeNode<int>**)
  0.43      2.32     0.01  1999778     0.00     0.00  std::deque<BinTreeNode<int>*, std::allocator<BinTreeNode<int>*> >::push_back(BinTreeNode<int>* const&)
  0.43      2.33     0.01                             main
  0.21      2.33     0.01  4030802     0.00     0.00  BinTreeNode<int>* const& std::forward<BinTreeNode<int>* const&>(std::remove_reference<BinTreeNode<int>* const&>::type&)
  0.21      2.34     0.01  1000000     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int>(int*, int&&)
  0.21      2.34     0.01   999888     0.00     0.00  BinTree<int>::BalanceA(BinTreeNode<int>*)
  0.21      2.35     0.01       23     0.22     0.22  std::_Deque_base<BinTreeNode<int>*, std::allocator<BinTreeNode<int>*> >::_M_deallocate_map(BinTreeNode<int>***, unsigned long)
  0.21      2.35     0.01       22     0.23     0.23  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      2.35     0.00  3000021     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      2.35     0.00  2999781     0.00     0.00  operator new(unsigned long, void*)
  0.00      2.35     0.00  2000000     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      2.35     0.00  1999781     0.00     0.00  std::deque<BinTreeNode<int>*, std::allocator<BinTreeNode<int>*> >::begin()
  0.00      2.35     0.00  1999780     0.00     0.00  std::queue<BinTreeNode<int>*, std::deque<BinTreeNode<int>*, std::allocator<BinTreeNode<int>*> > >::empty() const
  0.00      2.35     0.00  1999778     0.00     0.00  void __gnu_cxx::new_allocator<BinTreeNode<int>*>::destroy<BinTreeNode<int>*>(BinTreeNode<int>**)
  0.00      2.35     0.00  1999778     0.00     0.00  void __gnu_cxx::new_allocator<BinTreeNode<int>*>::construct<BinTreeNode<int>*, BinTreeNode<int>* const&>(BinTreeNode<int>**, BinTreeNode<int>* const&)
  0.00      2.35     0.00  1999778     0.00     0.00  void std::allocator_traits<std::allocator<BinTreeNode<int>*> >::construct<BinTreeNode<int>*, BinTreeNode<int>* const&>(std::allocator<BinTreeNode<int>*>&, BinTreeNode<int>**, BinTreeNode<int>* const&)
